cid,countyName,predict,truePoverty,error
0500000US33009,Grafton County New Hampshire,380.6290914,10.9,-369.7290914
0500000US09001,Fairfield County Connecticut,25.34639648,8.8,-16.54639648
0500000US29177,Ray County Missouri,31.31090441,15.6,-15.71090441
0500000US19159,Ringgold County Iowa,-20.90140226,10.9,31.80140226
0500000US55131,Washington County Wisconsin,-2.548718766,5.5,8.048718766
0500000US47091,Johnson County Tennessee,2.560705536,25.3,22.73929446
0500000US51036,Charles City County Virginia,36.83973556,13.2,-23.63973556
0500000US18041,Fayette County Indiana,23.11567256,18.2,-4.915672559
0500000US39165,Warren County Ohio,5.829447198,5.1,-0.729447198
0500000US47057,Grainger County Tennessee,-432.627987,18.7,451.327987
0500000US25005,Bristol County Massachusetts,-3.974886277,12.2,16.17488628
0500000US24045,Wicomico County Maryland,0.90590075,15.9,14.99409925
0500000US13079,Crawford County Georgia,18.85667582,18.1,-0.756675815
0500000US19009,Audubon County Iowa,-6.881816583,11.1,17.98181658
0500000US05045,Faulkner County Arkansas,-2.813811449,16.3,19.11381145
0500000US55021,Columbia County Wisconsin,14.8161249,8.3,-6.516124897
0500000US21161,Mason County Kentucky,-2.650863479,18,20.65086348
0500000US51057,Essex County Virginia,32.6490782,12.3,-20.3490782
0500000US31101,Keith County Nebraska,6.875953552,13.1,6.224046448
0500000US08051,Gunnison County Colorado,-176.228224,14.1,190.328224
0500000US13137,Habersham County Georgia,29.18253137,17.2,-11.98253137
0500000US26073,Isabella County Michigan,-25.57078549,27.3,52.87078549
0500000US26029,Charlevoix County Michigan,30.62708933,11.6,-19.02708933
0500000US13017,Ben Hill County Georgia,128.4232886,30.4,-98.02328863
0500000US22115,Vernon Parish Louisiana,9.208951078,16.9,7.691048922
0500000US18087,LaGrange County Indiana,133.431871,9.1,-124.331871
0500000US13119,Franklin County Georgia,-75.36566688,25.4,100.7656669
0500000US48473,Waller County Texas,41.2918027,18,-23.2918027
0500000US17181,Union County Illinois,1360.853264,16.8,-1344.053264
0500000US22045,Iberia Parish Louisiana,30.86101607,20.4,-10.46101607
0500000US48197,Hardeman County Texas,16.666496,13.8,-2.866495998
0500000US46123,Tripp County South Dakota,3.437570054,19.7,16.26242995
0500000US51081,Greensville County Virginia,24.75453759,17,-7.754537591
0500000US37101,Johnston County North Carolina,20.78628903,14.5,-6.286289026
0500000US09011,New London County Connecticut,13.40309288,9.9,-3.503092881
0500000US38093,Stutsman County North Dakota,15.16412324,11.1,-4.06412324
0500000US21207,Russell County Kentucky,-133.4470912,25.3,158.7470912
0500000US51149,Prince George County Virginia,5.996886965,12.3,6.303113035
0500000US56021,Laramie County Wyoming,23.01506464,10.4,-12.61506464
0500000US20157,Republic County Kansas,170.2781789,11.7,-158.5781789
0500000US27085,McLeod County Minnesota,-19.84035128,8.4,28.24035128
0500000US36017,Chenango County New York,9.939649282,14.5,4.560350718
0500000US21047,Christian County Kentucky,-10.95232032,19.7,30.65232032
0500000US40063,Hughes County Oklahoma,12.61185856,20.1,7.488141442
0500000US19073,Greene County Iowa,-51.60319521,10,61.60319521
0500000US16039,Elmore County Idaho,5.791583593,14.9,9.108416407
0500000US54017,Doddridge County West Virginia,-65.80186647,14.9,80.70186647
0500000US47005,Benton County Tennessee,1.518633838,22.3,20.78136616
0500000US51005,Alleghany County Virginia,17.68615771,19.3,1.613842289
0500000US48021,Bastrop County Texas,19.61823214,13.3,-6.318232136
0500000US42071,Lancaster County Pennsylvania,-22.48556699,10.4,32.88556699
0500000US17175,Stark County Illinois,-20.69315617,14,34.69315617
0500000US20179,Sheridan County Kansas,9.679443079,4.8,-4.879443079
0500000US48107,Crosby County Texas,-53.29934438,20.8,74.09934438
0500000US42133,York County Pennsylvania,2.173004765,10.3,8.126995235
0500000US30105,Valley County Montana,26.16483463,7.4,-18.76483463
0500000US48487,Wilbarger County Texas,37.17013325,16.5,-20.67013325
0500000US12059,Holmes County Florida,628.2500998,26.6,-601.6500998
0500000US44003,Kent County Rhode Island,9.204280805,7.8,-1.404280805
0500000US29201,Scott County Missouri,-108.5210782,20.1,128.6210782
0500000US37131,Northampton County North Carolina,13.09503753,25.4,12.30496247
0500000US08109,Saguache County Colorado,4.370224641,21,16.62977536
0500000US17059,Gallatin County Illinois,-42.34570704,16.6,58.94570704
0500000US21085,Grayson County Kentucky,-34.54381549,25.7,60.24381549
0500000US40099,Murray County Oklahoma,94.85802447,14.1,-80.75802447
0500000US31093,Howard County Nebraska,7.960553143,10.2,2.239446857
0500000US54069,Ohio County West Virginia,-21.66217472,13.7,35.36217472
0500000US53009,Clallam County Washington,-24.20490712,17.1,41.30490712
0500000US30073,Pondera County Montana,36.6668116,19,-17.6668116
0500000US12077,Liberty County Florida,5.829911629,17.8,11.97008837
0500000US01003,Baldwin County Alabama,-16.27323248,11.8,28.07323248
0500000US34031,Passaic County New Jersey,40.23541539,17,-23.23541539
0500000US16063,Lincoln County Idaho,-87.36000261,11.5,98.86000261
0500000US53021,Franklin County Washington,14.68865677,15.9,1.211343228
0500000US36029,Erie County New York,7.712280917,14.9,7.187719083
0500000US26115,Monroe County Michigan,29.34667935,11.2,-18.14667935
0500000US29043,Christian County Missouri,25.71379344,10.4,-15.31379344
0500000US24021,Frederick County Maryland,35.34092155,7.2,-28.14092155
0500000US37095,Hyde County North Carolina,-32.40288868,20.3,52.70288868
0500000US21237,Wolfe County Kentucky,94.61639384,36.9,-57.71639384
0500000US12041,Gilchrist County Florida,4.145300463,19.8,15.65469954
0500000US51171,Shenandoah County Virginia,-10.05778154,10.3,20.35778154
0500000US20143,Ottawa County Kansas,16.16214713,9.7,-6.462147131
0500000US05129,Searcy County Arkansas,15.03443227,17.4,2.365567726
0500000US54077,Preston County West Virginia,9.087387423,15.2,6.112612577
0500000US32031,Washoe County Nevada,1.454792486,13.3,11.84520751
0500000US48493,Wilson County Texas,5.431662038,10.2,4.768337962
0500000US40087,McClain County Oklahoma,-18.02335419,9.5,27.52335419
0500000US17165,Saline County Illinois,-49.84847391,20.6,70.44847391
0500000US12123,Taylor County Florida,759.7676958,16.4,-743.3676958
0500000US37043,Clay County North Carolina,-13.16253075,17.5,30.66253075
0500000US45043,Georgetown County South Carolina,13.4491222,18.7,5.250877802
0500000US08033,Dolores County Colorado,5.000129694,14.1,9.099870306
0500000US01015,Calhoun County Alabama,15.6523043,18.6,2.947695701
0500000US16079,Shoshone County Idaho,57.84962543,17.4,-40.44962543
0500000US26147,St. Clair County Michigan,18.19733028,13.3,-4.897330281
